"","game_id","season","week","season_type","start_date","start_time_tbd","completed","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_division","home_conference","home_points","home_post_win_prob","home_pregame_elo","home_postgame_elo","away_id","away_team","away_division","away_conference","away_points","away_post_win_prob","away_pregame_elo","away_postgame_elo","excitement_index","highlights","notes"
"47",63125,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,213,"Penn State","fbs","Big Ten",6,NA,1712,1650,2649,"Toledo","fbs","Mid-American",24,NA,1552,1614,NA,"",NA
"48",63123,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2633,"Tennessee","fbs","SEC",19,NA,1834,1833,2572,"Southern Miss","fbs","Conference USA",16,NA,1685,1686,NA,"",NA
"49",63082,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,254,"Utah","fbs","Mountain West",3,NA,1671,1627,12,"Arizona","fbs","Pac-10",17,NA,1554,1598,NA,"",NA
"50",63120,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,265,"Washington State","fbs","Pac-10",10,NA,1425,1410,24,"Stanford","fbs","Pac-10",24,NA,1609,1624,NA,"",NA
"51",63119,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2567,"SMU","fbs","Western Athletic",31,NA,1398,1428,2305,"Kansas","fbs","Big 12",17,NA,1421,1391,NA,"",NA
"52",63085,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,258,"Virginia","fbs","ACC",35,NA,1497,1497,252,"BYU","fbs","Mountain West",38,NA,1572,1572,NA,"",NA
"53",63113,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2509,"Purdue","fbs","Big Ten",48,NA,1719,1802,2117,"Central Michigan","fbs","Mid-American",0,NA,1273,1190,NA,"",NA
"54",63109,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,201,"Oklahoma","fbs","Big 12",55,NA,1725,1790,2638,"UTEP","fbs","Western Athletic",14,NA,1306,1241,NA,"",NA
"55",63108,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,194,"Ohio State","fbs","Big Ten",43,NA,1615,1706,278,"Fresno State","fbs","Western Athletic",10,NA,1613,1522,NA,"",NA
"56",63104,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,158,"Nebraska","fbs","Big 12",49,NA,1953,1963,23,"San José State","fbs","Western Athletic",13,NA,1156,1146,NA,"",NA
